Job Title,Work Type,Average Normalized Salary,AI Impact,Tasks,AI Models,AI Workload Ratio,Domain
911 Operator,Full Time,56220.0,60%,133,1007,0.1320754716981132,Construction
Academic Advisor,Full Time,51000.0,15%,905,3602,0.2512493059411438,Construction
Academic Dean,Full Time,82500.0,10%,861,3610,0.2385041551246537,Sales & Marketing
Accessioner,Full Time,38220.0,60%,46,410,0.1121951219512195,Construction
Account Executive,Full Time,112091.92087606837,15%,1162,4586,0.2533798517226341,Law Enforcement
Account Executive,Other,129510.0,15%,1162,4586,0.2533798517226341,Law Enforcement
Accountant,Full Time,80454.95195454545,60%,117,966,0.1211180124223602,Hospitality
Accountant,Other,72139.784,60%,117,966,0.1211180124223602,Hospitality
Accountant,Part Time,92440.0,60%,117,966,0.1211180124223602,Hospitality
Accounting Clerk,Full Time,46591.5,75%,145,1299,0.1116243264049268,Communication & PR
Accounting Clerk,Other,45240.0,75%,145,1299,0.1116243264049268,Communication & PR
Accounting Clerk,Part Time,45760.0,75%,145,1299,0.1116243264049268,Communication & PR
Accounting Consultant,Full Time,172500.0,35%,240,1585,0.1514195583596214,Hospitality
Accounting Consultant,Other,126880.0,35%,240,1585,0.1514195583596214,Hospitality
Accounting Director,Full Time,172500.0,25%,194,1417,0.136908962597036,Data & IT
Accounting Technician,Other,39520.0,35%,213,1460,0.1458904109589041,Communication & PR
Accounting Technician,Part Time,56160.0,35%,213,1460,0.1458904109589041,Communication & PR
Accounts Payable,Full Time,61350.72784090909,60%,154,1154,0.1334488734835355,Communication & PR
Accounts Payable,Other,57319.6,60%,154,1154,0.1334488734835355,Communication & PR
Accounts Payable,Part Time,35360.0,60%,154,1154,0.1334488734835355,Communication & PR
Actuary,Full Time,183583.5,70%,131,1251,0.1047162270183852,Construction
Adjuster,Full Time,75850.76086956522,35%,222,1451,0.1529979324603721,Law Enforcement
Adjuster,Other,57376.666666666664,35%,222,1451,0.1529979324603721,Law Enforcement
Admin,Full Time,217855.1051843318,90%,253,2014,0.1256206554121152,Sales & Marketing
Admin,Other,79340.01707100592,90%,253,2014,0.1256206554121152,Sales & Marketing
Admin,Part Time,53691.46245454546,90%,253,2014,0.1256206554121152,Sales & Marketing
Admissions Advisor,Full Time,60000.0,5%,1226,4718,0.2598558711318355,Hospitality
Advertising Sales,Full Time,112500.0,25%,240,1570,0.1528662420382165,Law Enforcement
Advertising Sales,Other,120000.5,25%,240,1570,0.1528662420382165,Law Enforcement
Advertising Sales Representative,Full Time,40560.0,45%,817,2532,0.3226698262243286,Hospitality
Advocate,Full Time,65868.81588235295,10%,534,2117,0.2522437411431271,Law Enforcement
Aeronautical Engineer,Other,239200.0,43%,415,1405,0.295373665480427,Data & IT
Aerospace Engineer,Full Time,108092.5,55%,89,749,0.1188251001335113,Communication & PR
Aerospace Engineer,Part Time,29120.0,55%,89,749,0.1188251001335113,Communication & PR
Aesthetician,Full Time,52050.0,5%,452,2006,0.2253240279162512,Law Enforcement
Agent,Full Time,89716.52790697674,40%,648,2044,0.3170254403131115,Sales & Marketing
Agent,Other,52913.3,40%,648,2044,0.3170254403131115,Sales & Marketing
Agent,Part Time,38435.42857142857,40%,648,2044,0.3170254403131115,Sales & Marketing
Agile Coach,Full Time,138800.0,10%,895,3877,0.2308485942739231,Medical & Healthcare
Agile Coach,Other,165880.0,10%,895,3877,0.2308485942739231,Medical & Healthcare
Aide,Full Time,40112.39743589744,25%,212,1608,0.1318407960199005,Hospitality
Aide,Other,49809.06666666667,25%,212,1608,0.1318407960199005,Hospitality
Aide,Part Time,37598.47619047619,25%,212,1608,0.1318407960199005,Hospitality
Aircraft Maintenance Technician,Full Time,128454.40000000001,35%,68,536,0.126865671641791,Supply Chain & Logistics
Aircraft Maintenance Technician,Other,62400.0,35%,68,536,0.126865671641791,Supply Chain & Logistics
Aircraft Mechanic,Full Time,73309.054,35%,69,546,0.1263736263736263,Law Enforcement
Ambassador,Full Time,65172.799999999996,10%,782,3079,0.2539785644689834,Medical & Healthcare
Ambassador,Other,46928.0,10%,782,3079,0.2539785644689834,Medical & Healthcare
Ambassador,Part Time,42640.0,10%,782,3079,0.2539785644689834,Medical & Healthcare
Analog Design Engineer,Other,47840.0,65%,134,913,0.1467688937568455,Data & IT
Analyst,Full Time,95272.40251693001,55%,162,1144,0.1416083916083916,Supply Chain & Logistics
Analyst,Other,94614.068503937,55%,162,1144,0.1416083916083916,Supply Chain & Logistics
Analyst,Part Time,106650.0,55%,162,1144,0.1416083916083916,Supply Chain & Logistics
Analytical Chemist,Full Time,63049.2,35%,114,757,0.1505944517833553,Administrative & Clerical
Analytical Chemist,Other,64480.0,35%,114,757,0.1505944517833553,Administrative & Clerical
Analytical Scientist,Other,83200.0,50%,124,912,0.1359649122807017,Hospitality
Analytics Manager,Full Time,132081.25,30%,297,1788,0.1661073825503355,Communication & PR
Analytics Manager,Other,128564.8,30%,297,1788,0.1661073825503355,Communication & PR
Anchor,Full Time,63440.0,40%,697,2170,0.3211981566820276,Law Enforcement
Android Developer,Full Time,119600.0,75%,147,1393,0.1055276381909547,Medical & Healthcare
Android Developer,Other,130000.0,75%,147,1393,0.1055276381909547,Medical & Healthcare
Anesthesiologist,Full Time,375352.5,30%,106,641,0.1653666146645865,Communication & PR
Animal Care Technician,Other,47840.0,5%,292,1453,0.2009635237439779,Construction
Animal Control Officer,Full Time,50190.4,25%,161,1239,0.1299435028248587,Construction
Animator,Full Time,90000.0,15%,1081,4149,0.2605447095685707,Sales & Marketing
Animator,Other,239200.0,15%,1081,4149,0.2605447095685707,Sales & Marketing
Applications Engineer,Full Time,123064.42857142857,55%,177,1302,0.1359447004608295,Medical & Healthcare
Appointment Setter,Full Time,111000.0,60%,116,1026,0.1130604288499025,Construction
Appointment Setter,Other,120000.0,60%,116,1026,0.1130604288499025,Construction
Appointment Setter,Part Time,35360.0,60%,116,1026,0.1130604288499025,Construction
Appraiser,Full Time,74506.11111111111,35%,177,1268,0.139589905362776,Administrative & Clerical
Aquatics Director,Full Time,74495.5,10%,545,2319,0.235015092712376,Administrative & Clerical
Arborist,Full Time,111160.4,30%,92,633,0.1453396524486571,Law Enforcement
Archaeologist,Full Time,90762.5,15%,698,2793,0.2499104905119942,Administrative & Clerical
Architect,Full Time,9081132.23078125,10%,988,3931,0.2513355380310353,Data & IT
Architect,Other,154625.6,10%,988,3931,0.2513355380310353,Data & IT
Architectural Engineer,Full Time,111624.5,15%,736,3015,0.2441127694859038,Law Enforcement
Archivist,Full Time,78566.66666666667,30%,153,1021,0.1498530852105778,Leadership & Strategy
Armed Security,Full Time,87360.0,40%,233,1050,0.2219047619047619,Medical & Healthcare
Armed Security Officer,Full Time,41735.2,50%,75,569,0.1318101933216168,Communication & PR
Armed Security Officer,Part Time,45981.86666666667,50%,75,569,0.1318101933216168,Communication & PR
Art Director,Full Time,97392.85714285714,40%,686,2666,0.2573143285821455,Communication & PR
Art Director,Other,100360.0,40%,686,2666,0.2573143285821455,Communication & PR
Artist,Full Time,68859.0,10%,970,4370,0.2219679633867277,Leadership & Strategy
Artist,Other,98800.0,10%,970,4370,0.2219679633867277,Leadership & Strategy
Artist,Part Time,46800.0,10%,970,4370,0.2219679633867277,Leadership & Strategy
Assembly Operator,Full Time,35958.0,65%,59,495,0.1191919191919192,Communication & PR
Assembly Technician,Full Time,45375.2,40%,437,1436,0.3043175487465181,Construction
Assessor,Full Time,130200.0,15%,822,3326,0.2471437161755862,Medical & Healthcare
Assessor,Other,109200.0,15%,822,3326,0.2471437161755862,Medical & Healthcare
Asset Manager,Full Time,143478.2175,30%,224,1354,0.1654357459379616,Data & IT
Asset Manager,Other,67600.0,30%,224,1354,0.1654357459379616,Data & IT
Assignment Editor,Full Time,60496.8,60%,148,1187,0.1246840775063184,Administrative & Clerical
Assistant,Full Time,156687.1924870242,82%,240,1600,0.15,Administrative & Clerical
Assistant,Other,56005.262291666666,82%,240,1600,0.15,Administrative & Clerical
Assistant,Part Time,47503.283800000005,82%,240,1600,0.15,Administrative & Clerical
Associate,Full Time,600213.2110046548,79%,175,1298,0.1348228043143297,Communication & PR
Associate,Other,65896.8072260274,79%,175,1298,0.1348228043143297,Communication & PR
Associate,Part Time,37105.06923076923,79%,175,1298,0.1348228043143297,Communication & PR
Athletic Director,Full Time,75000.0,10%,865,3729,0.2319656744435505,Data & IT
Attorney,Full Time,173341.1476635514,15%,800,3198,0.2501563477173233,Supply Chain & Logistics
Attorney,Other,136807.29315789472,15%,800,3198,0.2501563477173233,Supply Chain & Logistics
Attorney,Part Time,70100.0,15%,800,3198,0.2501563477173233,Supply Chain & Logistics
Audio Engineer,Full Time,79750.0,30%,189,1368,0.1381578947368421,Construction
Audio Technician,Full Time,37440.0,45%,463,2059,0.2248664400194269,Sales & Marketing
Audio Visual Technician,Full Time,75333.33333333333,25%,172,1241,0.1385979049153908,Supply Chain & Logistics
Audio Visual Technician,Other,60320.0,25%,172,1241,0.1385979049153908,Supply Chain & Logistics
Audiologist,Full Time,85000.0,10%,315,1312,0.2400914634146341,Administrative & Clerical
Audit Director,Full Time,215000.0,30%,222,1371,0.161925601750547,Supply Chain & Logistics
Auditor,Full Time,92359.7154385965,60%,162,1260,0.1285714285714285,Data & IT
Auditor,Other,84017.0,60%,162,1260,0.1285714285714285,Data & IT
Auditor,Part Time,42255.2,60%,162,1260,0.1285714285714285,Data & IT
Author,Full Time,72644.0,10%,1112,4724,0.235393734123624,Construction
Auto Body Technician,Full Time,140000.0,40%,412,1409,0.2924059616749467,Sales & Marketing
Auto Detailer,Full Time,36833.333333333336,10%,211,895,0.235754189944134,Construction
Auto Detailer,Other,38480.0,10%,211,895,0.235754189944134,Construction
Auto Glass Technician,Full Time,52520.0,30%,99,967,0.1023784901758014,Supply Chain & Logistics
Auto Mechanic,Full Time,27040.0,35%,70,573,0.1221640488656195,Construction
Auto Technician,Full Time,85810.0,35%,70,573,0.1221640488656195,Sales & Marketing
Automation Engineer,Full Time,118625.44642857143,65%,141,937,0.1504802561366061,Administrative & Clerical
Automation Engineer,Other,117520.0,65%,141,937,0.1504802561366061,Administrative & Clerical
Automation Technician,Full Time,69230.0,40%,557,1796,0.3101336302895323,Law Enforcement
Automotive Detailer,Full Time,34186.1,18%,392,1373,0.2855061908230153,Administrative & Clerical
Automotive Engineer,Other,91520.0,28%,193,1544,0.125,Data & IT
Automotive Mechanic,Full Time,28.0,35%,70,573,0.1221640488656195,Hospitality
Automotive Service Technician,Full Time,44200.0,48%,166,722,0.2299168975069252,Construction
Automotive Technician,Full Time,53821.17333333333,35%,70,573,0.1221640488656195,Communication & PR
Automotive Technician,Other,69505.8,35%,70,573,0.1221640488656195,Communication & PR
Automotive Technician,Part Time,45760.0,35%,70,573,0.1221640488656195,Communication & PR
Avionics Technician,Full Time,81044.26666666666,55%,73,638,0.1144200626959247,Hospitality
Avionics Technician,Other,68640.0,55%,73,638,0.1144200626959247,Hospitality
Backend Developer,Full Time,102500.0,75%,144,1012,0.1422924901185771,Data & IT
Backend Developer,Other,102500.0,75%,144,1012,0.1422924901185771,Data & IT
Baker,Full Time,70539.84,20%,316,1344,0.2351190476190476,Leadership & Strategy
